央视频道,#genre#
海南卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226485/10000100000000060000000004577294_0.smil
三沙卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226464/10000100000000060000000002828394_0.smil
厦门卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225678/10000100000000060000000000009830_0.smil

河南卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225819/10000100000000060000000000154392_0.smil
湖南卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225630/10000100000000060000000000009766_0.smil
江苏卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225631/10000100000000060000000000009763_0.smil
浙江卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225632/10000100000000060000000000009761_0.smil
北京卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225629/10000100000000060000000000009767_0.smil
东方卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225633/10000100000000060000000000009762_0.smil
天津卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225634/10000100000000060000000000009760_0.smil
山东卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225636/10000100000000060000000000009758_0.smil
安徽卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225645/10000100000000060000000000009757_0.smil
深圳卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225640/10000100000000060000000000009764_0.smil
江西卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225665/10000100000000060000000000009800_0.smil
湖北卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225638/10000100000000060000000000009759_0.smil
四川卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225668/10000100000000060000000000009801_0.smil
黑龙江卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225643/10000100000000060000000000009765_0.smil
云南卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225658/10000100000000060000000000009806_0.smil
贵州卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225670/10000100000000060000000000009794_0.smil
辽宁卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225908/10000100000000060000000000273214_0.smil
东南卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221226483/10000100000000060000000002828395_0.smil
重庆卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225652/10000100000000060000000000009791_0.smil
广东卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225907/10000100000000060000000000273215_0.smil
广西卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225655/10000100000000060000000000009790_0.smil
河北卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225661/10000100000000060000000000009795_0.smil
海南卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225648/10000100000000060000000000009789_0.smil
吉林卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225664/10000100000000060000000000009786_0.smil
山西卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225666/10000100000000060000000000009778_0.smil
陕西卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225667/10000100000000060000000000009788_0.smil
甘肃卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225671/10000100000000060000000000009783_0.smil
宁夏卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225673/10000100000000060000000000009792_0.smil
