央视高清,#genre#
兵团卫视,http://110.16.65.6:8888/newlive/live/hls/50/live.m3u8
内蒙卫视,http://110.16.65.6:8888/newlive/live/hls/51/live.m3u8
凤凰中文,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8
凤凰资讯,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8


国际频道,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
中國環球,http://live.cgtn.com/500/prog_index.m3u8
华文一台,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
华文六台,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1662611110-0-0-cf20c4fcf669736034b6ceac0d01d403
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
BRICS台,https://brics.bonus-tv.ru/cdn/brics/chinese/playlist.m3u8
俄罗斯频,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
乌克兰台,https://cdn.1tvcrimea.ru/1tvcrimea.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
朝鲜新闻,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
俄罗斯台,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
日本华语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
环球频道,http://live.cgtn.com/500/prog_index.m3u8
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
CNA频道,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
欧洲体育,http://europa-crtvg.flumotion.com/playlist.m3u8
欧洲华01,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39 
欧洲华02,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华06,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe 
动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
地理野生,http://admdn2.cdn.mangomolo.com/nagtv/smil:nagtv.stream.smil/chunklist_b800000_t64NDgwcA==.m3u83


数字高清,#genre#
CHC高清电影,http://36.158.96.201:9901/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://222.137.229.16:2000/rtp/225.1.4.209:1262
CHC动作电影,http://222.137.229.16:2000/rtp/225.1.4.208:1261
CHC高清电影,http://222.137.229.16:2000/rtp/225.1.4.207:1260
新动漫,http://222.137.229.16:2000/rtp/225.1.4.212:1265
音乐现场,http://222.137.229.16:2000/rtp/225.1.4.184:1224
爱生活,http://222.137.229.16:2000/rtp/225.1.4.176:1http://58.63.64.146:8888/rtp/225
好学生,http://222.137.229.16:2000/rtp/225.1.4.177:1226
经典电影,http://222.137.229.16:2000/rtp/225.1.4.175:1233
IPTV谍战剧场,http://222.137.229.16:2000/rtp/225.1.4.185:1240
IPTV相声小品,http://222.137.229.16:2000/rtp/225.1.4.186:1235
IPTV野外,http://222.137.229.16:2000/rtp/225.1.4.187:1236
IPTV法治,http://222.137.229.16:2000/rtp/225.1.4.188:1237
少儿动画,http://222.137.229.16:2000/rtp/225.1.4.189:1238
热播剧场,http://222.137.229.16:2000/rtp/225.1.4.190:1239
魅力时尚,http://222.137.229.16:2000/rtp/225.1.4.205:1253
爱综艺,http://222.137.229.16:2000/rtp/225.1.4.204:1252
爱体育,http://222.137.229.16:2000/rtp/225.1.4.5:1034
爱电影,http://222.137.229.16:2000/rtp/225.1.4.6:1035
爱大剧,http://222.137.229.16:2000/rtp/225.1.4.8:1037


电视剧集,#genre#
老红楼,http://mmitv.top/pltv/yy.php?id=1382745084
老三国,http://mmitv.top/pltv/yy.php?id=32788000
老三国,http://mmitv.top/pltv/yy.php?id=1354936241
新三国,http://mmitv.top/pltv/yy.php?id=26744898
新水浒,http://mmitv.top/pltv/yy.php?id=1356059275
封神榜,http://mmitv.top/pltv/yy.php?id=1353426319
新白娘子传奇,http://mmitv.top/pltv/yy.php?id=1354490667
纪晓岚,http://mmitv.top/pltv/yy.php?id=1382781415
康熙私访,http://mmitv.top/pltv/yy.php?id=1352811698
余庆年,http://43.224.33.165:35455/douyu/5908256
雍正王朝,http://mmitv.top/pltv/yy.php?id=26650882
康熙王朝,http://mmitv.top/pltv/yy.php?id=1382736818
父母爱情,http://mmitv.top/pltv/yy.php?id=1354926650
父母爱情,http://mmitv.top/pltv/yy.php?id=1382768483
父母爱情,http://mmitv.top/pltv/yy.php?id=1382746276
父母爱情,http://mmitv.top/pltv/yy.php?id=1382746276
芈月传,http://43.138.170.29:35455/huya/11352975
宰相刘罗锅,http://mmitv.top/pltv/yy.php?id=1382745191
神医喜来乐,http://mmitv.top/pltv/yy.php?id=1382714119
大染房,http://43.138.170.29:35455/huya/11602086
士兵突击,http://mmitv.top/pltv/yy.php?id=1382828766
士兵突击,http://43.138.170.29:35455/huya/11342430
我的团长我的团,http://43.138.170.29:35455/huya/11352910
龙门镖局,http://43.138.170.29:35455/huya/11352874
武林外传,http://mmitv.top/pltv/yy.php?id=1355652820
神探狄仁杰,http://mmitv.top/pltv/yy.php?id=1382705592
情满四合院,http://mmitv.top/pltv/yy.php?id=30736888
白鹿原,http://43.138.170.29:35455/huya/11342416
爱情公寓,https://live.metshop.top/huya/11336726
雪中悍刀行,http://mmitv.top/pltv/yy.php?id=1354943110
倚天屠龙记,http://mmitv.top/pltv/yy.php?id=1449856066
狼毒花,http://43.138.170.29:35455/huya/11602042
精绝古城,http://43.138.170.29:35455/huya/11352871
扫黑风暴,http://43.138.170.29:35455/huya/11342404
正阳门下,http://mmitv.top/pltv/yy.php?id=1354931580
隋唐英雄传,http://mmitv.top/pltv/yy.php?id=1352475619
康熙微服私访记,http://mmitv.top/pltv/yy.php?id=1352811698
特种兵系列,http://mmitv.top/pltv/yy.php?id=1508456184
血色浪漫,http://mmitv.top/pltv/yy.php?id=1354926676
炊事班的故事1,http://mmitv.top/pltv/yy.php?id=1382749901
炊事班的故事2,http://mmitv.top/pltv/yy.php?id=1382736885
炊事班的故事3,http://mmitv.top/pltv/yy.php?id=1382736885
白眉大侠,http://43.138.170.29:35455/huya/10871113

金婚,http://mmitv.top/pltv/yy.php?id=1382828768
笑傲江湖大陆,http://mmitv.top/pltv/yy.php?id=1354282410
大明王朝,http://mmitv.top/pltv/yy.php?id=1382736879
我的前半生,http://mmitv.top/pltv/yy.php?id=1382735564
欢乐颂,http://mmitv.top/pltv/yy.php?id=1382735624
来自星星的你,http://mmitv.top/pltv/yy.php?id=1354930976
寻秦记,http://mmitv.top/pltv/yy.php?id=1382749900
鹿鼎记,http://mmitv.top/pltv/yy.php?id=1353312849
天龙八部,http://mmitv.top/pltv/yy.php?id=1382736855
笑傲江湖,http://mmitv.top/pltv/yy.php?id=1354936128
神雕侠侣,http://mmitv.top/pltv/yy.php?id=1351762426
神雕侠侣,http://mmitv.top/pltv/yy.php?id=1382704651
倚天屠龙记,http://mmitv.top/pltv/yy.php?id=1382818085
大时代,http://mmitv.top/pltv/yy.php?id=1354930891


明星专辑,#genre#
李连杰,http://mmitv.top/pltv/yy.php?id=74613175
李连杰,http://tx-screenshots.flv.huya.com/src/1394565196-1394565196-5989611908959830016-2789253848-10057-A-0-1.flv
成龙,http://mmitv.top/pltv/yy.php?id=34460526
成龙,http://tx-screenshots.flv.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.flv
周星星,http://mmitv.top/pltv/yy.php?id=1382736808
周星驰,http://tx-screenshots.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.flv
林正英,http://mmitv.top/pltv/yy.php?id=1353685311
林正英,http://tx-screenshots.flv.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.flv
洪金宝,http://tx-screenshots.flv.huya.com/src/73821423-73821423-317060597529182208-2710090468-10057-A-0-1.flv
周润发,http://mmitv.top/pltv/yy.php?id=1354930961
甄子丹,http://tx-screenshots.flv.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1.flv
沈腾,http://tx-screenshots.flv.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1.flv
刘家辉,http://tx-screenshots.flv.huya.com/src/1449584124-1449584124-6225916405380808704-2847687586-10057-A-0-1.flv
黄渤,http://tx-screenshots.flv.huya.com/src/1449698962-1449698962-6226409630835146752-2789274564-10057-A-0-1.flv


系列电影,#genre#
X战警系列,http://mmitv.top/pltv/yy.php?id=1382736893
超级英雄系列,http://mmitv.top/pltv/yy.php?id=1382736863
漫威系列,http://mmitv.top/pltv/yy.php?id=135493023
美国队长,http://mmitv.top/pltv/yy.php?id=1382736813
加勒比海盗系列,http://mmitv.top/pltv/yy.php?id=1382749914
哈利波特全集,http://mmitv.top/pltv/yy.php?id=1382745105
叶问全集,http://mmitv.top/pltv/yy.php?id=1382828771
憨豆先生,http://mmitv.top/pltv/yy.php?id=1354930189
第一滴血全集,http://mmitv.top/pltv/yy.php?id=1354932355
小鬼当家,http://mmitv.top/pltv/yy.php?id=1382745104
碟中谍系列,http://mmitv.top/pltv/yy.php?id=1354930181
速度与激情全集,http://mmitv.top/pltv/yy.php?id=1382749892
变形金刚,http://mmitv.top/pltv/yy.php?id=1382736803
澳门风云,http://mmitv.top/pltv/yy.php?id=1459243913
敢死队,http://mmitv.top/pltv/yy.php?id=1382735573
木乃伊全集,http://mmitv.top/pltv/yy.php?id=1354889024
狄仁杰系列,http://mmitv.top/pltv/yy.php?id=1354932438
飓风营救,http://mmitv.top/pltv/yy.php?id=1382735547
古惑仔全集,http://mmitv.top/pltv/yy.php?id=1460889796


YY电影,#genre#
成龙1,http://mmitv.top/pltv/yy.php?id=1354888751
成龙2,http://tx-screenshots.flv.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.m3u8
林正英,http://mmitv.top/pltv/yy.php?id=1351505899
豆瓣高分,http://epg.112114.xyz/douyu/8770422
爱情公寓,http://epg.112114.xyz/douyu/6863367
yy电影2,http://mmitv.top/pltv/yy.php?id=1382749892
yy电影3,http://mmitv.top/pltv/yy.php?id=1382735573
yy电影4,http://mmitv.top/pltv/yy.php?id=24921161
yy电影6,http://mmitv.top/pltv/yy.php?id=1382736803
yy电影7,http://mmitv.top/pltv/yy.php?id=1354930924
yy电影8,http://mmitv.top/pltv/yy.php?id=1382745095
yy电影9,http://mmitv.top/pltv/yy.php?id=1355171357
yy电影10,http://mmitv.top/pltv/yy.php?id=24066336
电影轮播1,http://mmitv.top/pltv/yy.php?id=1382749892
电影轮播2,http://mmitv.top/pltv/yy.php?id=1382735573
电影轮播3,http://mmitv.top/pltv/yy.php?id=24921161
电影轮播4,http://mmitv.top/pltv/yy.php?id=1382736803
电影轮播5,http://mmitv.top/pltv/yy.php?id=1382745095
电影轮播6,http://mmitv.top/pltv/yy.php?id=1355171357
电影轮播7,http://mmitv.top/pltv/yy.php?id=24066336
电影频道,http://171.108.239.101:8181/tsfile/live/1022_1.m3u8
中国电影,http://171.108.239.101:8181/tsfile/live/1013_1.m3u8
私人影院,http://171.108.239.101:8181/tsfile/live/1014_1.m3u8
家庭影院HD,http://171.108.239.101:8181/tsfile/live/1006_1.m3u8
动作电影HD,http://171.108.239.101:8181/tsfile/live/1007_1.m3u8
高清电影HD,http://171.108.239.101:8181/tsfile/live/1008_1.m3u8
天映电影,http://171.108.239.101:8181/tsfile/live/1009_1.m3u8
东森电影,http://171.108.239.101:8181/tsfile/live/1010_1.m3u8
龙祥电影,http://171.108.239.101:8181/tsfile/live/1011_1.m3u8
福星高照㊣代,https://pull.kktv8.com/livekktv/99592190.flv
鸿运当头,https://pull.kktv8.com/livekktv/99350550.flv
央视66台,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
瑶瑶恐怖,http://159.75.85.63:35455/douyu/2935323
怡寶影院,http://159.75.85.63:35455/douyu/434971
小黛兮影,http://159.75.85.63:35455/douyu/11553944
神乐影院1台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐影院2台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
小宇60帧,http://maomao.kandiantv.cn/douyu1.php?id=323876
恐怖惊悚,http://maomao.kandiantv.cn/douyu1.php?id=96577
電影劇場,http://maomao.kandiantv.cn/douyu1.php?id=7575350
國語電影,http://maomao.kandiantv.cn/douyu1.php?id=2436390
豆瓣高分,http://maomao.kandiantv.cn/douyu1.php?id=8770422
花卷陪看,http://maomao.kandiantv.cn/douyu1.php?id=52787
漫威剧情,http://maomao.kandiantv.cn/douyu1.php?id=6140589
霍格沃茨,http://maomao.kandiantv.cn/douyu1.php?id=8814650
鱼宝恐怖,http://maomao.kandiantv.cn/douyu1.php?id=1165374
鬼片恐怖,http://maomao.kandiantv.cn/douyu1.php?id=2935323
小U鬼片http://maomao.kandiantv.cn/douyu1.php?id=96577
菜园惊险,http://maomao.kandiantv.cn/douyu1.php?id=1735337
吃奶滴虫,http://maomao.kandiantv.cn/douyu1.php?id=263824
变种人片,http://maomao.kandiantv.cn/douyu1.php?id=9651304
喜剧电影,http://maomao.kandiantv.cn/douyu1.php?id=9292492
女神电影,http://maomao.kandiantv.cn/douyu1.php?id=747764
华语经典,http://maomao.kandiantv.cn/douyu1.php?id=434971
避风影院,http://maomao.kandiantv.cn/douyu1.php?id=9826611
星星影院,http://maomao.kandiantv.cn/douyu1.php?id=315131
欧美大片,http://maomao.kandiantv.cn/douyu1.php?id=2793084
贝爷影厅,http://maomao.kandiantv.cn/douyu1.php?id=252802
译制国语,http://maomao.kandiantv.cn/douyu1.php?id=2436390

综艺小品,#genre#
吐槽大会第一季,http://mmitv.top/pltv/yy.php?id=1354936210
吐槽大会第二季,http://mmitv.top/pltv/yy.php?id=1354936145
吐槽大会第五季,http://mmitv.top/pltv/yy.php?id=1354889009
今晚80后,http://mmitv.top/pltv/yy.php?id=1382745098
金星脱口秀,http://mmitv.top/pltv/yy.php?id=1382735552
金星脱口秀,http://mmitv.top/pltv/yy.php?id=1354932407
非诚勿扰,http://mmitv.top/pltv/yy.php?id=1382735583
欢乐集结号,http://mmitv.top/pltv/yy.php?id=1382741642
欢乐集结号,http://mmitv.top/pltv/yy.php?id=1354931582
欢乐集结号,http://mmitv.top/pltv/yy.php?id=1382735550
欢乐集结号,http://mmitv.top/pltv/yy.php?id=1382736822
赵本山1,http://mmitv.top/pltv/yy.php?id=32160832
赵本山2,http://mmitv.top/pltv/yy.php?id=1382683959
赵本山2,http://epg.112114.xyz/douyu/9817716
蔡明小品,http://mmitv.top/pltv/yy.php?id=1354936177
春晚小品,http://mmitv.top/pltv/yy.php?id=1382773717
春晚小品,http://mmitv.top/pltv/yy.php?id=1382773716
小沈阳,http://mmitv.top/pltv/yy.php?id=1382749941
宋小宝,http://mmitv.top/pltv/yy.php?id=1354931577
宋小宝,http://mmitv.top/pltv/yy.php?id=1382736866
宋小宝,http://epg.112114.xyz/douyu/9817729
贾玲小品,http://mmitv.top/pltv/yy.php?id=1382736720
贾玲小品,http://epg.112114.xyz/douyu/10419541
小品频道,http://epg.112114.xyz/douyu/10153463
吃面,https://vd3.bdstatic.com/mda-kihjn2cq7103ivig/v1-cae/hd/mda-kihjn2cq7103ivig.mp4
